province,market,type,name,time,y
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-2,6.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-1,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-29,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-28,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-27,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-26,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-25,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-24,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-23,10.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-22,10.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-21,10.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-20,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-19,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-18,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-17,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-16,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-15,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-14,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-13,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-12,6.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-11,6.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-10,6.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-9,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-8,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-7,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-6,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-5,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-4,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-2,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-1,8.0
